title,year,rating,metascore,votes,gross,director,actors,runtime,genre,description
The Dark Knight Rises,(2012),8.4,78        ,1689294,1689294,"Director:
Christopher Nolan","['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']",164 min,"Action, Drama","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
The Lord of the Rings: The Two Towers,(2002),8.8,87        ,1649593,1649593,"Director:
Peter Jackson","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",179 min,"Action, Adventure, Drama","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Se7en,(1995),8.6,65        ,1632487,1632487,"Director:
David Fincher","['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']",127 min,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Django Unchained,(2012),8.4,81        ,1534998,1534998,"Director:
Quentin Tarantino","['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']",165 min,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
Gladiator,(2000),8.5,67        ,1486059,1486059,"Director:
Ridley Scott","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",155 min,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Batman Begins,(2005),8.2,70        ,1457687,1457687,"Director:
Christopher Nolan","['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']",140 min,"Action, Crime, Drama","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Inglourious Basterds,(2009),8.3,69        ,1431691,1431691,"Director:
Quentin Tarantino","['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']",153 min,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
The Silence of the Lambs,(1991),8.6,85        ,1417557,1417557,"Director:
Jonathan Demme","['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",118 min,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
The Wolf of Wall Street,(2013),8.2,75        ,1387309,1387309,"Director:
Martin Scorsese","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']",180 min,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Avengers,(2012),8.0,69        ,1381233,1381233,"Director:
Joss Whedon","['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']",143 min,"Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Saving Private Ryan,(1998),8.6,91        ,1378042,1378042,"Director:
Steven Spielberg","['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']",169 min,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Schindler's List,(1993),9.0,94        ,1343403,1343403,"Director:
Steven Spielberg","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",195 min,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
The Prestige,(2006),8.5,66        ,1321089,1321089,"Director:
Christopher Nolan","['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']",130 min,"Drama, Mystery, Sci-Fi","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,(2006),8.5,85        ,1313558,1313558,"Director:
Martin Scorsese","['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",151 min,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Shutter Island,(2010),8.2,63        ,1296175,1296175,"Director:
Martin Scorsese","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']",138 min,"Mystery, Thriller","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
The Green Mile,(1999),8.6,61        ,1287811,1287811,"Director:
Frank Darabont","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",189 min,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Empire Strikes Back,(1980),8.7,82        ,1280943,1280943,"Director:
Irvin Kershner","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",124 min,"Action, Adventure, Fantasy","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
